Count	Cluster	Cmi	Cpl	Ler	Loc	Gga	Xtr
1	CL00369	Cmi01	Cpl01	Ler01	Loc11	GgaZ	XtrSca151
1	CL00370	Cmi01	Cpl01	Ler01	Loc11	GgaZ	Xtr01
1	CL00371	Cmi01	CplSca1944	Ler01	Loc02	GgaZ	Xtr01
1	CL01340	CmiSca32	Cpl02		Loc02	GgaZ	Xtr01
1	CL01359	Cmi01		Ler03	Loc02	GgaZ	
1	CL01393		Cpl02	Ler03	Loc04	GgaZ	Xtr01
1	CL01426	Cmi01	Cpl02	LerSca64	Loc02	GgaZ	
1	CL01487	Cmi01	Cpl01			GgaZ	
1	CL01535		Cpl01		Loc02	GgaZ	Xtr01
1	CL01559		Cpl01	Ler01		GgaZ	
1	CL01595		Cpl02			GgaZ	Xtr01
1	CL01689	Cmi01		LerSca1392	Loc26	GgaZ	Xtr07
1	CL01699	Cmi01	Cpl01	Ler01		GgaZ	Xtr01
1	CL01700	Cmi01		Ler01	Loc02	GgaZ	Xtr01
1	CL01812		Cpl02, CplSca51204	Ler03	Loc02	GgaZ	
1	CL01874	Cmi01			Loc19	GgaZ	Xtr01
1	CL02048		Cpl32	Ler01		GgaZ	Xtr01
1	CL02109	Cmi01				GgaZ	Xtr01
1	CL02177		Cpl01			GgaZ	Xtr01
##group=3
187	CL00017	Cmi02	Cpl04	Ler04	Loc09	Gga02	Xtr06
177	CL00022	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr06
160	CL00024	Cmi02	Cpl04	Ler04	Loc11	Gga02	Xtr06
126	CL00032	Cmi02	Cpl05	Ler02	Loc09	Gga02	Xtr06
89	CL00044	Cmi02	Cpl29	Ler02	Loc11	Gga02	Xtr06
53	CL00049	Cmi02	Cpl29	Ler02	Loc09	Gga02	Xtr06
17	CL00699	Cmi02	Cpl04		Loc11	Gga02	Xtr06
16	CL00706	Cmi02	Cpl04		Loc09	Gga02	Xtr06
12	CL00734	Cmi02	Cpl05		Loc11	Gga02	Xtr06
11	CL00083	CmiSca	Cpl05	Ler02	Loc11	Gga02	Xtr06
11	CL00752	Cmi02	Cpl05	Ler02	Loc09		Xtr06
9	CL00770	Cmi02		Ler04	Loc09	Gga02	Xtr06
8	CL00079	Cmi02	Cpl05	Ler02	LocSca	Gga02	Xtr06
8	CL00104	Cmi02	Cpl04	LerSca	Loc09	Gga02	Xtr06
8	CL00785	Cmi02	Cpl04	Ler04	Loc09		
8	CL00793		Cpl04	Ler04	Loc09	Gga02	Xtr06
8	CL00794	Cmi02	Cpl29		Loc09	Gga02	Xtr06
8	CL00799	Cmi02	Cpl04	Ler04		Gga02	Xtr06
8	CL00802	Cmi02	Cpl04	Ler04	Loc09	Gga02	
7	CL00096	Cmi02	Cpl04	Ler43	Loc09	Gga02	Xtr06
7	CL00806	Cmi02			Loc09	Gga02	Xtr06
7	CL00811	Cmi02	Cpl05	Ler02	Loc11	Gga02	
7	CL00812	Cmi02	Cpl05	Ler02		Gga02	Xtr06
6	CL00088	Cmi02	CplSca	Ler02	Loc09	Gga02	Xtr06
6	CL00832	Cmi02		Ler02	Loc11	Gga02	Xtr06
6	CL00846	Cmi02	Cpl05	Ler02	Loc11		
6	CL00849	Cmi02	Cpl05		Loc09	Gga02	Xtr06
5	CL00657	Cmi02	Cpl04	Ler04	Loc11		
5	CL00867	Cmi02	Cpl04	Ler04	Loc11	Gga02	
4	CL00118	Cmi02	Cpl04	Ler04	LocSca	Gga02	Xtr06
4	CL00122	Cmi02	Cpl04	LerSca	Loc11	Gga02	Xtr06
4	CL00887	Cmi02	Cpl29	Ler02		Gga02	Xtr06
4	CL00899	Cmi02	Cpl29	Ler02	Loc09		
4	CL00904	Cmi02			Loc11	Gga02	Xtr06
4	CL00909	Cmi02	Cpl29	Ler02	Loc11		
4	CL00911	Cmi02	Cpl29	Ler02	Loc09		Xtr06
4	CL00922	Cmi02	Cpl05	Ler02	Loc09		
3	CL00135	Cmi02	Cpl04	Ler43	Loc11	Gga02	Xtr06
3	CL00181	CmiSca	Cpl04	Ler04	Loc11	Gga02	Xtr06
3	CL00183	Cmi02	Cpl33	Ler02	Loc09	Gga02	Xtr06
3	CL00346	CmiSca247	CplSca12523	Ler04	Loc09	Gga02	Xtr06
3	CL00951	Cmi02	Cpl05		Loc11		Xtr06
3	CL00966	Cmi02	Cpl29		Loc09		Xtr06
3	CL00972	Cmi02			Loc09		Xtr06
3	CL00998			Ler04	Loc09	Gga02	Xtr06
3	CL01030		Cpl04	Ler04		Gga02	
2	CL00161	CmiSca	Cpl05	Ler02	Loc09	Gga02	Xtr06
2	CL00170	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr08
2	CL00184	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr02
2	CL00384	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr10
2	CL00385	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr01
2	CL01035		Cpl05	Ler02	Loc09	Gga02	Xtr06
2	CL01067		Cpl04	Ler04	Loc09		
2	CL01069		Cpl05	Ler02	Loc11		Xtr06
2	CL01070	Cmi02		Ler02		Gga02	Xtr06
2	CL01076	Cmi02		Ler04	Loc11	Gga02	Xtr06
2	CL01096	Cmi02	Cpl04		Loc11		Xtr06
2	CL01108		Cpl04		Loc09	Gga02	Xtr06
2	CL01116	Cmi02	Cpl05		Loc11		
2	CL01117	Cmi02			Loc11		Xtr06
2	CL01131	Cmi02		Ler04		Gga02	
2	CL01142		Cpl04	Ler04	Loc11		Xtr06
2	CL01149	Cmi02		Ler02	Loc09	Gga02	Xtr06
2	CL01159		Cpl04	Ler04	Loc11	Gga02	Xtr06
2	CL01164	Cmi02		Ler02	Loc11		Xtr06
2	CL01165	Cmi02				Gga02	Xtr06
2	CL01184		Cpl04	Ler04		Gga02	Xtr06
2	CL01199	Cmi02	Cpl05		Loc09		
1	CL00230	Cmi02	Cpl05	LerSca567	LocSca1	Gga02	Xtr06
1	CL00241	Cmi02	CplSca22088, CplSca3853	Ler04	Loc11	Gga02	Xtr06
1	CL00242	Cmi02	Cpl20	Ler21	Loc11	Gga02	Xtr06
1	CL00253	Cmi02	Cpl05	LerSca739	Loc09, LocSca147	Gga02	Xtr06
1	CL00274	Cmi02	CplSca9579	Ler02	Loc11	Gga02	Xtr06
1	CL00275	Cmi02	Cpl03	Ler02	Loc11	Gga02	Xtr06
1	CL00284	Cmi02	CplSca9858	Ler43	Loc11	Gga02	Xtr06
1	CL00293	Cmi02	Cpl05, CplSca14683, CplSca23232	Ler02	Loc09	GgaSca90	Xtr06
1	CL00309	Cmi02	Cpl48	Ler02	Loc09	Gga02	Xtr06
1	CL00347	CmiSca968	Cpl04	Ler43	Loc09	Gga02	Xtr06
1	CL00374	Cmi02	Cpl04	Ler49	Loc09	Gga02	Xtr06
1	CL00375	Cmi02	Cpl04	LerSca195	LocSca472	Gga02	Xtr06
1	CL00376	Cmi02	Cpl03	Ler02	Loc09	Gga02	Xtr06
1	CL00377	Cmi02	Cpl04	Ler04	Loc09	Gga02	Xtr03
1	CL00378	Cmi02	Cpl05	Ler02	Loc08	Gga02	Xtr06
1	CL00379	Cmi02	Cpl29	Ler02	Loc09	Gga03	Xtr06
1	CL00380	Cmi02	Cpl29	Ler17	Loc09	Gga02	Xtr06
1	CL00381	Cmi02	Cpl29	Ler02	Loc11	Gga02	Xtr01
1	CL00382	Cmi02	Cpl29	LerSca254	Loc09	Gga02	Xtr06
1	CL00383	Cmi02	Cpl05	LerSca612	Loc11	Gga02	Xtr06
1	CL00386	Cmi02	Cpl05	Ler02	Loc09	Gga01	Xtr02
1	CL00387	Cmi02	Cpl04	Ler04	Loc11	Gga02	Xtr10
1	CL00388	Cmi02	Cpl04	Ler04	Loc11	Gga02	Xtr08
1	CL00389	Cmi02	Cpl04	Ler04	Loc11	Gga02	Xtr09
1	CL00390	Cmi02	Cpl04	Ler04	Loc12	Gga02	Xtr06
1	CL00391	Cmi02	Cpl04	Ler04	Loc18	Gga02	Xtr06
1	CL00393	Cmi02	Cpl04	Ler04	Loc11	Gga14	Xtr02
1	CL00394	Cmi02	Cpl19	Ler04	Loc09	Gga02	Xtr06
1	CL00395	Cmi02	CplSca14099	Ler04	Loc09	Gga02	Xtr06
1	CL00396	Cmi02	Cpl04	Ler04	Loc09	Gga02	Xtr02
1	CL00398	Cmi02	Cpl04	Ler04	Loc09	Gga19	Xtr02
1	CL00611	CmiSca62	Cpl04	Ler49	Loc09	Gga02	Xtr06
1	CL00620	CmiSca569	Cpl04	Ler04	Loc09	Gga02	Xtr06
1	CL00630	CmiSca1519	Cpl04	LerSca96	Loc11	Gga02	Xtr06
1	CL01235	Cmi02	Cpl37	LerSca98	Loc09	Gga02	
1	CL01262	Cmi02	Cpl29			Gga02	Xtr06
1	CL01294	Cmi02	Cpl04		LocSca299	Gga02	Xtr06
1	CL01295	Cmi02	Cpl05	Ler02, LerSca461, LerSca1313, LerSca389	Loc11		Xtr05
1	CL01309		Cpl04	Ler49	Loc11		Xtr06
1	CL01319		Cpl05	Ler02		Gga02	Xtr06
1	CL01374			Ler04	Loc09		Xtr06
1	CL01384		Cpl29	Ler02			Xtr06
1	CL01428		Cpl29	Ler02	Loc09		Xtr06
1	CL01429	Cmi02	Cpl05			Gga02	Xtr06
1	CL01430	Cmi02	Cpl04		Loc09		Xtr06
1	CL01431	Cmi02	Cpl04	Ler04		Gga02	
1	CL01446		Cpl05	Ler02	Loc09	Gga02	
1	CL01493		CplSca15029	Ler02		Gga02	
1	CL01534		Cpl05	Ler02	Loc09		
1	CL01562	Cmi02	Cpl04			Gga02	
1	CL01563			Ler04		Gga02	Xtr06
1	CL01564	Cmi02			Loc09	Gga02	
1	CL01583			Ler04	Loc11		Xtr06
1	CL01611		Cpl04		Loc11	Gga02	
1	CL01612		Cpl05	Ler02			Xtr06
1	CL01677		Cpl04	Ler43		Gga02	
1	CL01701	Cmi02	Cpl29	Ler02	Loc12		Xtr06
1	CL01702	Cmi02	Cpl29	Ler02	Loc11	Gga02	
1	CL01703	Cmi02	Cpl29	LerSca1173	Loc11		
1	CL01704	Cmi02		Ler04	Loc09		Xtr06
1	CL01705	Cmi02	Cpl04	Ler04	Loc16		Xtr06
1	CL01706	Cmi02	Cpl04	Ler04	Loc11		Xtr07
1	CL01707	Cmi02	Cpl04		Loc09	Gga03	Xtr05
1	CL01708	Cmi02	CplSca13056		Loc09	Gga02	Xtr06
1	CL01783	Cmi27	Cpl04		Loc11	Gga02	Xtr06
1	CL01816		Cpl04	LerSca258	Loc11	Gga02	Xtr06
1	CL01817		Cpl05	Ler02	Loc11	Gga02	Xtr06
1	CL01818		Cpl05	Ler02	Loc11	Gga01	Xtr06
1	CL01863			Ler04	Loc11	Gga02	Xtr06
1	CL01875	Cmi02	Cpl05	Ler02			Xtr06
1	CL01878	Cmi02	Cpl29		Loc11	Gga02	
1	CL01880	Cmi02		Ler02	Loc11	Gga02	
1	CL01881	Cmi02	Cpl05		Loc11	Gga02	
1	CL01882	Cmi02		Ler04	Loc11		Xtr06
1	CL01883	Cmi02		Ler04	Loc09	Gga02	
1	CL01998		Cpl04	Ler04	Loc11	Gga02	
1	CL01999		Cpl04	Ler43	Loc12	Gga02	
1	CL02000		Cpl04	Ler04	Loc16		Xtr06
1	CL02002		Cpl05		Loc11	Gga02	Xtr06
1	CL02003		Cpl05		Loc09	Gga02	Xtr06
1	CL02004		Cpl05	Ler02	Loc11		Xtr07
1	CL02045		Cpl29		Loc09	Gga02	Xtr06
1	CL02097			Ler02	Loc09	Gga02	Xtr06
1	CL02110	Cmi02	Cpl04		Loc11		
1	CL02111	Cmi02		Ler04			Xtr06
1	CL02180		Cpl04	Ler04	Loc11		
1	CL02181		Cpl04	Ler43			Xtr06
1	CL02182		Cpl04			Gga02	Xtr06
1	CL02183		Cpl04	Ler04			Xtr06
##group=4
288	CL00002	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr05
148	CL00027	Cmi03	Cpl09	Ler08	Loc16	Gga03	Xtr05
115	CL00036	Cmi03	Cpl09	Ler08	Loc01	Gga03	Xtr05
83	CL00043	Cmi03	Cpl03	Ler05	Loc16	Gga03	Xtr05
23	CL00060	Cmi03	Cpl09	Ler08	LocSca	Gga03	Xtr05
21	CL00688	Cmi03	Cpl03		Loc01	Gga03	Xtr05
16	CL00707	Cmi03	Cpl09	Ler08	Loc16		Xtr05
16	CL00708		Cpl09	Ler08	Loc01	Gga03	Xtr05
12	CL00738	Cmi03	Cpl03	Ler05		Gga03	Xtr05
11	CL00750	Cmi03		Ler05	Loc01	Gga03	Xtr05
10	CL00077	Cmi03	Cpl09	LerSca	Loc16	Gga03	Xtr05
10	CL00080	Cmi03	Cpl03	LerSca	Loc01	Gga03	Xtr05
10	CL00753	Cmi03	Cpl03	Ler05	Loc01		
9	CL00772	Cmi03	Cpl09	Ler08	Loc16	Gga03	
8	CL00803	Cmi03	Cpl09	Ler08		Gga03	Xtr05
7	CL00092	Cmi03	Cpl03	Ler05	LocSca	Gga03	Xtr05
7	CL00095	Cmi03	Cpl03	LerSca	Loc16	Gga03	Xtr05
7	CL00816	Cmi03	Cpl03	Ler05	Loc01	Gga03	
6	CL00107	Cmi03	CplSca	Ler05	Loc01	Gga03	Xtr05
6	CL00837	Cmi03			Loc01	Gga03	Xtr05
5	CL00116	Cmi03	Cpl15	Ler08	Loc16	Gga03	Xtr05
