Count	Cluster	Cmi	Cpl	Ler	Loc	Gga	Xtr
1	CL02103			Ler05	Loc01	Gga03	Xtr05
1	CL02112	Cmi03		Ler05		Gga03	
1	CL02113	Cmi03		Ler05	Loc01		
1	CL02114	Cmi03		Ler05			Xtr05
1	CL02116	Cmi03		Ler08	Loc01		
1	CL02191		Cpl09		Loc16		Xtr05
1	CL02192		Cpl09	Ler08	Loc16		
1	CL02267			Ler08	Loc16		Xtr05
##group=5
153	CL00026	Cmi04	Cpl06	Ler06	Loc17	Gga01	Xtr02
148	CL00030	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
144	CL00031	Cmi04	Cpl12	Ler13	Loc17	Gga01	Xtr02
98	CL00038	Cmi04	Cpl12	Ler13	Loc03	Gga01	Xtr02
41	CL00054	Cmi04	Cpl12	Ler13	Loc14	Gga01	Xtr02
14	CL00073	Cmi04	Cpl06	Ler06	LocSca	Gga01	Xtr02
13	CL00065	Cmi04	Cpl06	Ler06	Loc14	Gga01	Xtr02
13	CL00726	Cmi04	Cpl12		Loc17	Gga01	Xtr02
10	CL00071	Cmi04	Cpl06	LerSca	Loc03	Gga01	Xtr02
10	CL00756		Cpl12	Ler13	Loc17	Gga01	Xtr02
10	CL00766	Cmi04	Cpl12	Ler13		Gga01	Xtr02
9	CL00777	Cmi04	Cpl06		Loc17	Gga01	Xtr02
9	CL00782		Cpl06	Ler06	Loc03	Gga01	Xtr02
8	CL00103	CmiSca	Cpl12	Ler13	Loc17	Gga01	Xtr02
8	CL00792	Cmi04			Loc17	Gga01	Xtr02
7	CL00807		Cpl06		Loc03	Gga01	Xtr02
7	CL00815	Cmi04	Cpl06		Loc03	Gga01	Xtr02
7	CL00822	Cmi04	Cpl06	Ler06	Loc17		Xtr02
6	CL00101	Cmi04	Cpl07	Ler13	Loc17	Gga01	Xtr02
6	CL00833	Cmi04	Cpl12	Ler13	Loc03		Xtr02
5	CL00147	Cmi04	Cpl06	Ler45	Loc03	Gga01	Xtr02
5	CL00855	Cmi04		Ler13	Loc17	Gga01	Xtr02
5	CL00872	Cmi04	Cpl12	Ler13	Loc17		
5	CL00873	Cmi04	Cpl06	Ler06	Loc03	Gga01	
5	CL00875	Cmi04	Cpl06	Ler06		Gga01	Xtr02
4	CL00110	CmiSca	Cpl06	LerSca	Loc03	Gga01	Xtr02
4	CL00123	Cmi04	CplSca	Ler06	Loc03	Gga01	Xtr02
4	CL00140	Cmi04	Cpl06	LerSca	Loc14	Gga01	Xtr02
4	CL00145	CmiSca	Cpl06	Ler06	Loc03	Gga01	Xtr02
4	CL00889	Cmi04				Gga01	Xtr02
4	CL00905	Cmi04	Cpl06	Ler06	Loc17	Gga01	
4	CL00907		Cpl12	Ler13	Loc03	Gga01	Xtr02
3	CL00128	Cmi04	Cpl10	Ler06	Loc03	Gga01	Xtr02
3	CL00143	Cmi04	Cpl06	Ler45	Loc14	Gga01	Xtr02
3	CL00146	Cmi04	CplSca	Ler13	Loc03	Gga01	Xtr02
3	CL00187	Cmi04	Cpl06	Ler47	Loc17	Gga01	Xtr02
3	CL00671	Cmi04			Loc03	Gga01	Xtr02
3	CL00955	Cmi04	Cpl12	Ler13	Loc03	Gga01	
3	CL00962	Cmi04		Ler06	Loc03	Gga01	Xtr02
3	CL00973	Cmi04	Cpl12	Ler13	Loc14	Gga01	
3	CL00976		Cpl06	LerSca	Loc03	Gga01	Xtr02
3	CL01000	Cmi04	Cpl06	Ler06	Loc03		
3	CL01007		Cpl12	Ler13		Gga01	
3	CL01013	Cmi04		Ler13	Loc03	Gga01	Xtr02
3	CL01024	Cmi04	Cpl06	Ler06		Gga01	
2	CL00172	Cmi04	Cpl12	Ler13	LocSca	Gga01	Xtr02
2	CL00420	Cmi04	Cpl06	LerSca78	Loc03	Gga01	Xtr06
2	CL00425	Cmi04	Cpl12	Ler13	Loc17	Gga25	Xtr08
2	CL00433	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr08
2	CL01037		Cpl12	Ler13	Loc17	Gga01	
2	CL01071	Cmi04	Cpl12	Ler13	Loc14		
2	CL01077	Cmi04	Cpl12	Ler13	Loc03		
2	CL01078	Cmi04	Cpl12	LerSca		Gga01	Xtr02
2	CL01079	Cmi04	Cpl12	Ler13	Loc17	Gga01	
2	CL01080	Cmi04	Cpl12			Gga01	Xtr02
2	CL01138		Cpl12		Loc17	Gga01	Xtr02
2	CL01139	Cmi04	Cpl12		Loc17	Gga01	
2	CL01146	Cmi04	Cpl06				Xtr02
2	CL01168	Cmi04	Cpl12	Ler13			Xtr02
2	CL01169	Cmi04			Loc17	Gga01	
2	CL01185		Cpl06		Loc17	Gga01	Xtr02
2	CL01186		Cpl06	LerSca	Loc03		Xtr02
2	CL01203	Cmi04			Loc17		Xtr02
2	CL01213		Cpl12		Loc17		Xtr02
2	CL01214		Cpl12	Ler13	Loc03		
2	CL01218			Ler06	Loc17		Xtr02
1	CL00234	Cmi04	Cpl12	Ler13	Loc11	Gga01	Xtr03
1	CL00235	Cmi09	Cpl12	Ler13	Loc03	Gga01	Xtr02
1	CL00276	Cmi04	Cpl12	Ler13	Loc17	Gga01	Xtr07
1	CL00392	Cmi02	Cpl06	Ler06	Loc05	Gga08	Xtr02
1	CL00421	Cmi04	Cpl12	Ler13	Loc03	Gga34	Xtr02
1	CL00422	Cmi04	Cpl12	Ler13	Loc14	Gga01	Xtr03
1	CL00423	Cmi04	Cpl12	Ler13	Loc03	Gga10	Xtr03
1	CL00424	Cmi04	Cpl12	Ler13	Loc17	Gga12	Xtr04
1	CL00426	Cmi04	Cpl12	Ler20	Loc17	Gga01	Xtr02
1	CL00427	Cmi04	Cpl06	Ler06	Loc17	Gga01	Xtr07
1	CL00428	Cmi04	Cpl12	Ler13	Loc03	Gga01	Xtr04
1	CL00430	Cmi04	Cpl06	Ler06	Loc17	Gga02	Xtr02
1	CL00431	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr06
1	CL00432	Cmi04	CplSca4622	Ler06	LocSca17	Gga01	Xtr02
1	CL01268	Cmi04	Cpl12		Loc03		
1	CL01280		Cpl06		Loc14	Gga01	Xtr02
1	CL01301	Cmi04			Loc26		Xtr02
1	CL01339		Cpl06	Ler06	Loc17	Gga01	
1	CL01350	Cmi05	Cpl12, CplSca11933	Ler21			Xtr02
1	CL01377	Cmi04	CplSca15532		Loc03	Gga01	Xtr02
1	CL01391	Cmi04	Cpl06	Ler06	Loc17		
1	CL01420		Cpl06	Ler06	Loc03	Gga01	
1	CL01436	Cmi04	Cpl06		Loc17		Xtr02
1	CL01437	Cmi04	Cpl06			Gga01	Xtr02
1	CL01438		Cpl06		Loc17	Gga01	
1	CL01439	Cmi04	Cpl06	Ler06	Loc18, LocSca17		Xtr02
1	CL01452		Cpl06			Gga15	Xtr02
1	CL01482		Cpl06	Ler06		Gga01	
1	CL01483		Cpl06	LerSca78			Xtr02
1	CL01503	Cmi04	Cpl12		Loc17		
1	CL01505			Ler06	Loc03	Gga01	Xtr02
1	CL01531		CplSca91	Ler13	Loc17	Gga01	Xtr02
1	CL01558		Cpl06	LerSca77	Loc03		
1	CL01567	Cmi04		Ler13	Loc14		
1	CL01568			Ler13	Loc03	Gga01	Xtr02
1	CL01652	Cmi04	Cpl06	Ler06			Xtr02
1	CL01653	Cmi04	Cpl04	Ler04	Loc03		Xtr02
1	CL01678		Cpl12	Ler13	Loc06, LocSca3	Gga01	Xtr02
1	CL01721	Cmi04	Cpl12		Loc04	Gga01	Xtr02
1	CL01722	Cmi04		Ler06	LocSca3	Gga01	Xtr02
1	CL01745	Cmi11	Cpl06		LocSca436	Gga01	Xtr02
1	CL01819		Cpl06	Ler06	Loc15		Xtr02
1	CL01891	Cmi04			Loc14	Gga01	Xtr02
1	CL01892	Cmi04	Cpl12	Ler13		Gga01	
1	CL01893	Cmi04	CplSca7386	Ler13	Loc17		
1	CL01895	Cmi04		Ler06		Gga01	Xtr02
1	CL01896	Cmi04	Cpl06		Loc03		Xtr02
1	CL02005		Cpl06		Loc17		Xtr02
1	CL02006		Cpl06		Loc03	Gga01	Xtr06
1	CL02019		Cpl12	Ler13		Gga01	Xtr02
1	CL02020		Cpl12	Ler13	Loc03	Gga01	
1	CL02117	Cmi04		Ler13	Loc17		
1	CL02118	Cmi04			Loc03	Gga01	
1	CL02119	Cmi04	Cpl06		Loc03		
1	CL02137	Cmi11		Ler06		Gga01	
1	CL02186		Cpl06	Ler06	Loc03		
1	CL02235		CplSca6793	Ler06			Xtr02
1	CL02247			Ler13	Loc05		Xtr02
##group=6
277	CL00003	Cmi05	Cpl11	Ler10	Loc10	Gga08	Xtr04
25	CL00683	Cmi05	Cpl11	Ler10	Loc10		Xtr04
20	CL00061	Cmi05	Cpl11	LerSca	Loc10	Gga08	Xtr04
15	CL00064	Cmi05	Cpl11	Ler10	LocSca	Gga08	Xtr04
14	CL00719	Cmi05	Cpl11	Ler10	Loc10	Gga08	
13	CL00722	Cmi05	Cpl11	Ler10	Loc10		
13	CL00723	Cmi05	Cpl11		Loc10	Gga08	Xtr04
12	CL00737	Cmi05	Cpl11	Ler10		Gga08	Xtr04
6	CL00124	Cmi05	CplSca	Ler10	Loc10	Gga08	Xtr04
4	CL00645	Cmi05	Cpl11	Ler10		Gga08	
4	CL00918		Cpl11	Ler10	Loc10		Xtr04
4	CL00934	Cmi05			Loc10	Gga08	Xtr04
3	CL00635	Cmi05	Cpl11	Ler10			Xtr04
3	CL00964	Cmi05		Ler10	Loc10	Gga08	Xtr04
3	CL00993		Cpl11		Loc10	Gga08	Xtr04
2	CL00163	Cmi05	Cpl13	LerSca	Loc10	Gga08	Xtr04
2	CL01115	Cmi05	Cpl11		Loc10		
2	CL01143		Cpl11	Ler10	Loc10		
2	CL01170	Cmi05	Cpl11		Loc10		Xtr04
1	CL00245	Cmi05	Cpl08	Ler39	Loc10	Gga08	Xtr04
1	CL00295	Cmi05	Cpl11	Ler10	Loc05	Gga08	Xtr04
1	CL00434	Cmi05	Cpl11	Ler10	Loc10	Gga02	Xtr06
1	CL00435	Cmi05	Cpl11	Ler10	Loc02	Gga08	Xtr04
1	CL00436	Cmi05	Cpl11	Ler10	Loc10	Gga03	Xtr04
1	CL00439	Cmi05	Cpl13	Ler14	Loc10	Gga08	Xtr04
1	CL00440	Cmi05	Cpl11	LerSca52	Loc10	GgaSca106	Xtr04
1	CL00441	Cmi05	Cpl11	LerSca52	Loc07	Gga08	Xtr04
1	CL00442	Cmi05	Cpl11	Ler10	Loc10	Gga08	Xtr07
1	CL01258	Cmi05	Cpl11	LerSca317, LerSca163, LerSca347		Gga08	
1	CL01304			Ler10	Loc10	Gga08	Xtr04
1	CL01318	Cmi05		Ler10	Loc10		Xtr04
1	CL01392			Ler10	Loc10	Gga08	
1	CL01443	Cmi05			Loc10, LocSca6		Xtr04
1	CL01508	Cmi05			Loc10	Gga03	Xtr05
1	CL01571	Cmi05		Ler10			Xtr04
1	CL01573	Cmi05	Cpl11		Loc10	Gga08	
1	CL01614	Cmi05	Cpl11	LerSca179, LerSca675	Loc10		Xtr04
1	CL01724	Cmi05	Cpl11	Ler10	Loc10		Xtr09
1	CL01897	Cmi05	CplSca14716		Loc10		Xtr08
1	CL01898	Cmi05	Cpl11	LerSca52	Loc10		
1	CL02017		Cpl11	Ler10	Loc10	Gga08	
1	CL02120	Cmi05				Gga08	Xtr09
1	CL02121	Cmi05	Cpl06		Loc10		
1	CL02122	Cmi05		Ler10		Gga08	
1	CL02193		Cpl11	Ler10			Xtr04
1	CL02246			Ler10		Gga08	Xtr04
##group=7
292	CL00005	Cmi05	Cpl19	Ler19	Loc08	Gga01	Xtr03
202	CL00015	Cmi05	Cpl23	Ler22	Loc08	Gga01	Xtr03
14	CL00720	Cmi05	Cpl19	Ler19		Gga01	Xtr03
13	CL00066	Cmi05	Cpl19	Ler19	LocSca	Gga01	Xtr03
9	CL00773	Cmi05		Ler19	Loc08	Gga01	Xtr03
6	CL00838	Cmi05	Cpl23	Ler22	Loc08		
6	CL00840	Cmi05		Ler22	Loc08	Gga01	Xtr03
5	CL00188	Cmi05	Cpl23	Ler22	LocSca	Gga01	Xtr03
5	CL00851	Cmi05	Cpl23	Ler22		Gga01	Xtr03
5	CL00869	Cmi05			Loc08	Gga01	Xtr03
5	CL00878		Cpl23	Ler22	Loc08	Gga01	Xtr03
5	CL00881		Cpl23	Ler22	Loc08		
4	CL00644	Cmi05	Cpl19	Ler19		Gga01	
4	CL00888		Cpl23	Ler22	Loc08		Xtr03
4	CL00893	Cmi05	Cpl23	Ler22	Loc08	Gga01	
4	CL00919	Cmi05	Cpl23		Loc08	Gga01	Xtr03
3	CL00141	Cmi05	Cpl27	Ler22	Loc08	Gga01	Xtr03
3	CL00189	Cmi05	Cpl26	Ler19	Loc08	Gga01	Xtr03
3	CL01015	Cmi05			Loc08		Xtr03
2	CL00612	CmiSca67	Cpl23	Ler22	Loc08	Gga01	Xtr03
2	CL01048	Cmi05			Loc08	Gga01	
2	CL01081	Cmi05	Cpl23		Loc08		
2	CL01109		Cpl23		Loc08	Gga01	Xtr03
2	CL01127		Cpl19	Ler19		Gga01	Xtr03
2	CL01140	Cmi05		Ler22	Loc08		Xtr03
2	CL01171	Cmi05	Cpl23		Loc08		Xtr03
1	CL00207	Cmi05	Cpl23	Ler01	Loc08	Gga01	Xtr03
1	CL00316	Cmi05	Cpl19	Ler19	Loc01, LocSca2	Gga01	Xtr03
1	CL00317	Cmi05	Cpl23, CplSca5894	LerSca69	Loc08	Gga01	Xtr03
1	CL00318	Cmi05	Cpl23	Ler22	Loc08	Gga01	Xtr09
1	CL00319	Cmi05	Cpl23	Ler22	Loc01	Gga01	Xtr03, XtrSca20
1	CL00443	Cmi05	Cpl11	Ler10	Loc03	Gga10	Xtr03
1	CL00444	Cmi05	Cpl23	Ler22	Loc08	Gga06	Xtr01
1	CL00446	Cmi05	CplSca10957	Ler19	Loc08	Gga01	Xtr03
1	CL00447	Cmi05	Cpl26	Ler19	Loc02	Gga01	Xtr03
1	CL01364	Cmi05	Cpl19			Gga01	Xtr03
1	CL01444	Cmi05	Cpl23			Gga01	Xtr03
1	CL01511	Cmi05			Loc05	Gga12	Xtr03
1	CL01512	Cmi05		Ler19	Loc08	Gga01	
1	CL01556		Cpl19	Ler19	Loc06		Xtr03
1	CL01602		Cpl19	LerSca444	Loc08	Gga01	Xtr03
1	CL01621		Cpl23		Loc08		Xtr04
1	CL01654	Cmi05	Cpl19		Loc05, LocSca2	Gga01	Xtr03
1	CL01655	Cmi05	Cpl19		Loc02, LocSca2	Gga01	Xtr03
1	CL01725	Cmi05	Cpl23		Loc08	GgaZ	Xtr01
1	CL01829		Cpl19	Ler19	Loc05, LocSca2		Xtr03
1	CL01833		Cpl23	Ler22	Loc08	GgaSca105	Xtr03
1	CL01899	Cmi05	Cpl19	Ler19			Xtr03
1	CL01900	Cmi05		Ler19	Loc08		Xtr03
1	CL01901	Cmi05		Ler19		Gga01	Xtr03
1	CL01902	Cmi05	Cpl23	Ler22			Xtr03
1	CL01903	Cmi05			Loc08	Gga01	Xtr06
1	CL02039		Cpl23	Ler22		Gga01	Xtr03
1	CL02091			Ler19	Loc08	Gga01	Xtr03
1	CL02092			Ler22	Loc08	Gga01	Xtr08
1	CL02123	Cmi05	Cpl19			Gga01	
1	CL02124	Cmi05		Ler22			Xtr03
1	CL02201		Cpl19			Gga01	Xtr03
1	CL02254			Ler19	Loc08		Xtr03
##group=8
252	CL00004	Cmi06	Cpl07	Ler07	Loc12	Gga07	Xtr09
41	CL00052	Cmi06	Cpl07	LerSca	Loc12	Gga07	Xtr09
31	CL00679	Cmi06	Cpl07	Ler07	Loc12		Xtr09
26	CL00682	Cmi06	Cpl07		Loc12	Gga07	Xtr09
17	CL00698	Cmi06	Cpl07	Ler07	Loc12	Gga07	
14	CL00715	Cmi06	Cpl07	Ler07	Loc12		
8	CL00097	Cmi06	Cpl07	Ler07	Loc12	Gga09	Xtr09
8	CL00788		Cpl07		Loc12	Gga07	Xtr09
7	CL00826		Cpl07	Ler07	Loc12	Gga07	Xtr09
5	CL00854	Cmi06			Loc12	Gga07	Xtr09
5	CL00859	Cmi06	Cpl07	Ler07		Gga07	Xtr09
4	CL00670	Cmi06	Cpl07	Ler07			Xtr09
3	CL00139	CmiSca	Cpl07	Ler07	Loc12	Gga09	Xtr09
3	CL00950	Cmi06	Cpl07		Loc12		Xtr09
2	CL00162	CmiSca	Cpl07	Ler07	Loc12	Gga07	Xtr09
2	CL00453	Cmi06	Cpl07	Ler46	Loc12	Gga07	Xtr09
2	CL00457	Cmi06	Cpl07	Ler07	Loc12	Gga07	Xtr03
2	CL00648	Cmi06		Ler07		Gga07	Xtr09
2	CL01065	Cmi06	Cpl07		Loc12	Gga07	
2	CL01151	Cmi06		Ler07	Loc12	Gga07	Xtr09
2	CL01196			Ler07	Loc12	Gga07	Xtr09
2	CL01204	Cmi06			Loc12	Gga07	
1	CL00213	Cmi06	Cpl14	Ler07	Loc12	Gga07	Xtr09
1	CL00224	Cmi06	CplSca7007	Ler07	Loc12	Gga07	Xtr09
1	CL00308	Cmi02	Cpl07	Ler07	Loc12	Gga07	Xtr09
1	CL00320	Cmi06	Cpl07	Ler07	Loc03	Gga07	Xtr09
1	CL00321	Cmi06	Cpl07	Ler07	Loc12	Gga34	Xtr02
1	CL00449	Cmi06	CplSca2208	LerSca344	Loc12	Gga07	Xtr09
1	CL00450	Cmi06	Cpl07	LerSca97	Loc02	Gga07	Xtr09
1	CL00451	Cmi06	Cpl07	LerSca89	Loc12	Gga07	XtrSca41
1	CL00454	Cmi06	CplSca11311	Ler07	Loc12	Gga09	Xtr09
1	CL00455	Cmi06	Cpl07	Ler07	Loc12	Gga04	Xtr02
1	CL00456	Cmi06	Cpl07	Ler07	Loc12	Gga01	Xtr03
1	CL00458	Cmi06	Cpl07	Ler07	Loc12	Gga01	Xtr02
1	CL00459	Cmi06	Cpl07	Ler07	Loc12	Gga07	Xtr08
1	CL01223	Cmi06	Cpl07	LerSca250	Loc12	Gga09	
1	CL01296		Cpl07	Ler05	Loc12		
1	CL01306		Cpl07	Ler07	Loc12	Gga09	
1	CL01330		Cpl07	Ler07	Loc12		Xtr09
1	CL01336	Cmi06		LerSca1121	Loc12		
1	CL01347	Cmi06	Cpl07		Loc12	Gga07	Xtr06
1	CL01351	Cmi06	Cpl07	LerSca467	Loc12		
1	CL01385		Cpl07	Ler26, LerSca953	Loc12	Gga07	Xtr09
1	CL01489	Cmi06	Cpl07		Loc12		
1	CL01515		Cpl07	Ler07	Loc12		
1	CL01540	CmiSca76	Cpl07	Ler07	Loc12		
1	CL01561			Ler07	Loc12	Gga07	
1	CL01572		Cpl07		Loc12	Gga14	Xtr09
1	CL01577	Cmi06	Cpl24	Ler39	Loc12		Xtr09
1	CL01730	Cmi06	Cpl07	Ler07	Loc12		Xtr07
1	CL01820		Cpl07	Ler07	Loc12	Gga08	Xtr09
1	CL01905	Cmi06	Cpl07	Ler07		Gga07	
1	CL02007		Cpl07	LerSca653	Loc17		Xtr09
1	CL02126	Cmi06	Cpl07			Gga07	
1	CL02187		Cpl07		Loc12		Xtr09
1	CL02188		Cpl07	Ler07		Gga07	
1	CL02189		Cpl07	LerSca977	Loc12		
1	CL02190		Cpl07	LerSca162			Xtr09
##group=9
206	CL00013	Cmi07	Cpl22	Ler15	Loc05	Gga06	Xtr07
135	CL00034	Cmi07	Cpl38	Ler34	Loc05	Gga06	Xtr07
13	CL00724		Cpl22	Ler15	Loc05	Gga06	Xtr07
13	CL00725	Cmi07	Cpl22		Loc05	Gga06	Xtr07
10	CL00093	Cmi07	Cpl22	Ler15	LocSca	Gga06	Xtr07
10	CL00755	Cmi07	Cpl22	Ler15	Loc05		
9	CL00784	Cmi07	Cpl38	Ler34	Loc05		
8	CL00089	Cmi07	Cpl46	Ler15	Loc05	Gga06	Xtr07
6	CL00829	Cmi07			Loc05	Gga06	Xtr07
6	CL00839	Cmi07	Cpl38	Ler34	Loc05	Gga06	
4	CL00117	Cmi07	CplSca	Ler15	Loc05	Gga06	Xtr07
4	CL00669	Cmi07	Cpl22	Ler15			Xtr07
4	CL00913	Cmi07	Cpl22	Ler15	Loc05	Gga06	
3	CL00153	CmiSca	Cpl22	Ler15	Loc05	Gga06	Xtr07
3	CL00667			Ler15	Loc05	Gga06	Xtr07
3	CL00956	Cmi07			Loc05	Gga06	
3	CL01031		Cpl22		Loc05		Xtr07
2	CL01073		Cpl22	Ler15	Loc05		
2	CL01122	Cmi07		Ler15	Loc05	Gga06	
2	CL01147	Cmi07	Cpl22	Ler15		Gga06	Xtr07
2	CL01152	Cmi07		Ler15	Loc05	Gga06	Xtr07
2	CL01153	Cmi07		Ler34	Loc05	Gga06	Xtr07
2	CL01205	Cmi07	Cpl38		Loc05		
1	CL00272	Cmi07	CplSca7969	Ler34	Loc05	Gga06	Xtr07
1	CL00460	Cmi07	Cpl22	Ler39	Loc05	Gga06	Xtr07
1	CL00461	Cmi07	Cpl38	Ler34	Loc05	Gga06	Xtr04
1	CL00462	Cmi07	CplSca7087	Ler15	Loc05	Gga08	Xtr04
1	CL00463	Cmi07	Cpl22	Ler15	Loc05	Gga06	Xtr03
1	CL01291	Cmi07	CplSca15432, CplSca10618		Loc05	Gga06	
1	CL01422	Cmi07	Cpl22		Loc05	Gga06	
1	CL01484			Ler34	Loc05		Xtr07
1	CL01485	Cmi07		Ler15	Loc05		Xtr07
1	CL01516	Cmi07	Cpl22		Loc05		Xtr07
1	CL01578	Cmi07	Cpl22	Ler15		Gga06	
1	CL01598			Ler15		Gga06	Xtr07
1	CL01656	Cmi07	Cpl22	LerSca297, LerSca158		Gga06	Xtr07
1	CL01657	Cmi07		Ler34	Loc07, LocSca516	Gga06	Xtr01
1	CL01731	Cmi07	Cpl22	Ler15	Loc05		Xtr09
1	CL01732	Cmi07	CplSca79609		LocSca6	Gga06	Xtr08
1	CL01734	Cmi07	Cpl22		Loc05	Gga06	Xtr08
1	CL01735	Cmi07		Ler34	Loc05, LocSca607		Xtr03
1	CL01832		Cpl22	Ler15, LerSca421		Gga06	Xtr07
1	CL01906	Cmi07		Ler34	Loc05	Gga06	
1	CL01907	Cmi07	Cpl38	Ler34		Gga06	
1	CL01908	Cmi07		Ler15		Gga06	Xtr07
1	CL02036		Cpl22	Ler15	Loc05		Xtr07
1	CL02037		Cpl22		Loc05	Gga06	Xtr07
1	CL02056		Cpl38	Ler34	Loc05	Gga06	
1	CL02127	Cmi07		Ler15			Xtr07
1	CL02128	Cmi07				Gga06	Xtr07
##group=10
225	CL00008	Cmi08	Cpl25	Ler25	Loc20	Gga15	Xtr01
14	CL00067	Cmi08	Cpl06	Ler25	Loc20	Gga15	Xtr01
14	CL00721	Cmi08	Cpl25		Loc20	Gga15	Xtr01
12	CL00740	Cmi08	Cpl25	Ler25	Loc20		Xtr01
10	CL00761	Cmi08	Cpl25	Ler25		Gga15	Xtr01
7	CL00810	Cmi08	Cpl25	Ler25	Loc20		
5	CL00857	Cmi08			Loc20	Gga15	Xtr01
5	CL00884	Cmi08		Ler25	Loc20	Gga15	Xtr01
3	CL00470	Cmi08	CplSca14631	Ler25	Loc20	Gga15	Xtr01
3	CL00662	Cmi08	Cpl25	Ler25			Xtr01
2	CL00259	Cmi08	CplSca13213	Ler25	LocSca947	Gga15	Xtr01
2	CL00285	Cmi08	Cpl25	Ler25, LerSca401	Loc01	Gga15	Xtr01
2	CL01082	Cmi08	Cpl25		Loc20		Xtr01
2	CL01123			Ler25	Loc20	Gga15	Xtr01
1	CL00464	Cmi08	Cpl25	Ler25	Loc20	Gga26	Xtr01
1	CL00465	Cmi08	Cpl25	Ler25	Loc20	Gga10	Xtr01
1	CL00466	Cmi08	Cpl25	Ler25	Loc20	Gga18	Xtr01
1	CL00468	Cmi08	Cpl25	Ler25	Loc03	Gga15	Xtr01
1	CL00469	Cmi08	Cpl25	Ler25	Loc20	Gga15	Xtr04
1	CL01353		Cpl25	Ler25		Gga15	Xtr01
1	CL01366	Cmi08	CplSca73174	Ler25	Loc09		Xtr01
1	CL01441	Cmi08	Cpl25	Ler25	Loc20	Gga15	
1	CL01521			Ler25	Loc20	Gga05	
1	CL01528		Cpl25	Ler25	Loc20	Gga15	
1	CL01554		Cpl25		Loc20	Gga15	Xtr01
1	CL01736	Cmi08	CplSca13215	Ler25		Gga15	Xtr01
1	CL01835		Cpl25	Ler25	Loc20		Xtr01
1	CL01910	Cmi08	Cpl25	Ler25		Gga15	
1	CL02129	Cmi08	Cpl25		Loc20		
1	CL02130	Cmi08				Gga15	Xtr01
1	CL02131	Cmi08	Cpl37		Loc20		
1	CL02132	Cmi08		Ler25	Loc20		
1	CL02133	Cmi08			Loc20		Xtr01
1	CL02203		Cpl25	Ler25			Xtr01
##group=11
176	CL00021	Cmi08	Cpl30	Ler31	Loc21	Gga17	Xtr08
9	CL00776	Cmi08	Cpl30	Ler31		Gga17	Xtr08
9	CL00783	Cmi08	Cpl30	Ler31	Loc21		Xtr08
8	CL00789	Cmi08	Cpl30		Loc21	Gga17	Xtr08
7	CL00813	Cmi08	Cpl30	Ler31	Loc21	Gga17	
6	CL00102	Cmi08	Cpl03	Ler31	Loc21	Gga17	Xtr08
5	CL00865	Cmi08		Ler31	Loc21	Gga17	Xtr08
3	CL00148	Cmi08	Cpl30	Ler31	LocSca	Gga17	Xtr08
3	CL00190	Cmi08	Cpl30	Ler31	Loc21	Gga17	XtrSca
3	CL00191	Cmi08	CplSca	Ler31	Loc21	Gga17	Xtr08
3	CL00939	Cmi08	Cpl30	Ler31	Loc21		
3	CL00990		Cpl30	Ler31	Loc21		
2	CL00475	Cmi08	Cpl30	Ler31	Loc21	Gga07	Xtr09
2	CL00477	Cmi08	Cpl30	Ler31	Loc21	Gga17	Xtr07
2	CL01120	Cmi08	Cpl30		Loc21		
2	CL01128		Cpl30		Loc21	Gga17	Xtr08
2	CL01172	Cmi08	Cpl30		Loc21		Xtr08
2	CL01190		Cpl30	Ler31	Loc21		Xtr08
2	CL01217			Ler31	Loc21		Xtr08
1	CL00246	CmiSca1174	Cpl30	Ler10	Loc21	Gga17	Xtr08
1	CL00256	Cmi08	Cpl34	Ler39	Loc21	Gga17	Xtr08
1	CL00471	Cmi08	Cpl30	Ler31	Loc03	Gga17	Xtr08
1	CL00472	Cmi08	Cpl30	Ler31	Loc21	Gga02	Xtr08
1	CL00473	Cmi08	Cpl01	Ler31	Loc21	Gga17	Xtr08
1	CL00474	Cmi08	Cpl30	LerSca744	Loc21	Gga17	Xtr08
1	CL00476	Cmi08	Cpl30	Ler31	Loc21	Gga17	Xtr03
1	CL00478	Cmi08	Cpl30	Ler31	Loc21	Gga17	Xtr05
1	CL01269	Cmi08			Loc21	Gga17	
1	CL01279	Cmi08	Cpl30	Ler31		Gga17	Xtr02
1	CL01440			Ler31	Loc21	Gga17	Xtr08
1	CL01507	Cmi08	Cpl30			Gga17	
1	CL01524	Cmi08	CplSca99245		Loc09	Gga17	Xtr08
1	CL01582	Cmi08			Loc21	Gga17	Xtr08
1	CL01617		Cpl30		Loc21		Xtr08
1	CL01737	Cmi08	Cpl30	Ler31	Loc21		Xtr04
1	CL01911	Cmi08		Ler31	Loc21	Gga17	
1	CL01912	Cmi08		Ler31	Loc21	Gga19	
1	CL02134	Cmi08			Loc21		Xtr08
1	CL02135	Cmi08		Ler31			Xtr08
1	CL02144	Cmi14		Ler31	Loc21		
1	CL02209		Cpl30			Gga17	Xtr08
##group=12
339	CL00001	Cmi09	Cpl10	Ler09	Loc07	Gga05	Xtr08
17	CL00701	Cmi09	Cpl10	Ler09	Loc07		Xtr08
13	CL00081	Cmi09	Cpl10	Ler09	LocSca	Gga05	Xtr08
